Thông tin học sinh: 
ID: 8,Phạm Thu Ngân,Bồng Sơn,0123,C01
Danh sách đăng kí môn học: 
ID: 9,Triết Mác-Lênin,5,DAI_CUONG, đăng kí lúc 2024-10-12T14:31:24.458793
ID: 11,Lập trình hướng đối tượng,8,CHUYEN_NGANH_BAT_BUOC, đăng kí lúc 2024-10-12T14:31:24.458793
ID: 8,CSDL,6,CHUYEN_NGANH_BAT_BUOC, đăng kí lúc 2024-10-12T14:31:24.458793
ID: 13,Tiếng anh cơ bản 2,6,CO_SO_NGANH, đăng kí lúc 2024-10-12T14:31:24.458793
Thông tin học sinh: 
ID: 9,Dương Văn Nhật,Ân Hảo Đông,0124,C02
Danh sách đăng kí môn học: 
ID: 10,Nguyên lí HĐH,4,CHUYEN_NGANH_TU_CHON, đăng kí lúc 2024-10-12T14:31:24.505664200
ID: 9,Triết Mác-Lênin,5,DAI_CUONG, đăng kí lúc 2024-10-12T14:31:24.505664200
ID: 12,Giải tích 1,6,CHUYEN_NGANH_TU_CHON, đăng kí lúc 2024-10-12T14:31:24.505664200
Thông tin học sinh: 
ID: 10,Phạm Minh Phú,Năng An,0125,C01
Danh sách đăng kí môn học: 
ID: 14,Phát triển kỹ năng 2,4,DAI_CUONG, đăng kí lúc 2024-10-12T14:31:24.505664200
ID: 12,Giải tích 1,6,CHUYEN_NGANH_TU_CHON, đăng kí lúc 2024-10-12T14:31:24.505664200
Thông tin học sinh: 
ID: 11,Lê Hoàng Khôi,Tăng Bạt Hổ,0128,C03
Danh sách đăng kí môn học: 
ID: 12,Giải tích 1,6,CHUYEN_NGANH_TU_CHON, đăng kí lúc 2024-10-12T14:31:24.521288600
ID: 8,CSDL,6,CHUYEN_NGANH_BAT_BUOC, đăng kí lúc 2024-10-12T14:31:24.521288600
Thông tin học sinh: 
ID: 5,Nguyễn Vũ Dũng,Ân Tín,0127,C02
Danh sách đăng kí môn học: 
ID: 5,Giải tích 1,6,CHUYEN_NGANH_TU_CHON, đăng kí lúc 2024-10-12T14:31:43.173313700
ID: 6,Tiếng anh cơ bản 2,6,CO_SO_NGANH, đăng kí lúc 2024-10-12T14:31:37.253014900
